kind,symbol,file,line,subsystem,risk,c_header
rust_export,jobs_enable_tokio_bridge,rust/mtproxy-ffi/src/jobs/ffi.rs,8,jobs,R2,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,run_pending_main_jobs,rust/mtproxy-ffi/src/jobs/ffi.rs,18,misc,R1,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,job_change_signals,rust/mtproxy-ffi/src/jobs/ffi.rs,37,misc,R1,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,create_async_job_c_impl,rust/mtproxy-ffi/src/jobs/ffi.rs,48,misc,R1,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,create_async_job,rust/mtproxy-ffi/src/jobs/ffi.rs,127,misc,R1,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,notify_job_create,rust/mtproxy-ffi/src/jobs/ffi.rs,151,misc,R1,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,schedule_job,rust/mtproxy-ffi/src/jobs/ffi.rs,172,misc,R1,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,job_signal_c_impl,rust/mtproxy-ffi/src/jobs/ffi.rs,184,misc,R1,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,job_decref_c_impl,rust/mtproxy-ffi/src/jobs/ffi.rs,193,misc,R1,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,job_incref_c_impl,rust/mtproxy-ffi/src/jobs/ffi.rs,217,misc,R1,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,job_signal,rust/mtproxy-ffi/src/jobs/ffi.rs,227,misc,R1,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,job_decref,rust/mtproxy-ffi/src/jobs/ffi.rs,233,misc,R1,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,job_incref,rust/mtproxy-ffi/src/jobs/ffi.rs,239,misc,R1,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_jobs_tokio_init,rust/mtproxy-ffi/src/jobs/ffi.rs,249,jobs,R2,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_jobs_tokio_enqueue_class,rust/mtproxy-ffi/src/jobs/ffi.rs,266,jobs,R2,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_jobs_tokio_dequeue_class,rust/mtproxy-ffi/src/jobs/ffi.rs,285,jobs,R2,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_jobs_tokio_enqueue_subclass,rust/mtproxy-ffi/src/jobs/ffi.rs,312,jobs,R2,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_jobs_tokio_dequeue_subclass,rust/mtproxy-ffi/src/jobs/ffi.rs,335,jobs,R2,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_jobs_tokio_subclass_enter,rust/mtproxy-ffi/src/jobs/ffi.rs,362,jobs,R2,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_jobs_tokio_subclass_has_pending,rust/mtproxy-ffi/src/jobs/ffi.rs,388,jobs,R2,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_jobs_tokio_subclass_mark_processed,rust/mtproxy-ffi/src/jobs/ffi.rs,412,jobs,R2,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_jobs_tokio_subclass_exit_or_continue,rust/mtproxy-ffi/src/jobs/ffi.rs,435,jobs,R2,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_jobs_tokio_subclass_permit_acquire,rust/mtproxy-ffi/src/jobs/ffi.rs,467,jobs,R2,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_jobs_tokio_subclass_permit_release,rust/mtproxy-ffi/src/jobs/ffi.rs,507,jobs,R2,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_jobs_tokio_enqueue_main,rust/mtproxy-ffi/src/jobs/ffi.rs,540,jobs,R2,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_jobs_tokio_drain_main,rust/mtproxy-ffi/src/jobs/ffi.rs,554,jobs,R2,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_jobs_tokio_timer_queue_create,rust/mtproxy-ffi/src/jobs/ffi.rs,592,jobs,R2,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_jobs_tokio_timer_queue_destroy,rust/mtproxy-ffi/src/jobs/ffi.rs,606,jobs,R2,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_jobs_tokio_timer_queue_push,rust/mtproxy-ffi/src/jobs/ffi.rs,622,jobs,R2,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_jobs_tokio_timer_queue_pop,rust/mtproxy-ffi/src/jobs/ffi.rs,644,jobs,R2,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_jobs_tokio_message_queue_create,rust/mtproxy-ffi/src/jobs/ffi.rs,671,jobs,R2,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_jobs_tokio_message_queue_destroy,rust/mtproxy-ffi/src/jobs/ffi.rs,685,jobs,R2,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_jobs_tokio_message_queue_push,rust/mtproxy-ffi/src/jobs/ffi.rs,701,jobs,R2,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_jobs_tokio_message_queue_pop,rust/mtproxy-ffi/src/jobs/ffi.rs,726,jobs,R2,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_mpq_handle_create,rust/mtproxy-ffi/src/mp_queue/core.rs,43,misc,R1,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_mpq_handle_destroy,rust/mtproxy-ffi/src/mp_queue/core.rs,71,misc,R1,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_mpq_handle_clear,rust/mtproxy-ffi/src/mp_queue/core.rs,91,misc,R1,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_mpq_handle_push,rust/mtproxy-ffi/src/mp_queue/core.rs,109,misc,R1,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_mpq_handle_pop,rust/mtproxy-ffi/src/mp_queue/core.rs,143,misc,R1,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_mpq_handle_is_empty,rust/mtproxy-ffi/src/mp_queue/core.rs,174,misc,R1,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_mpq_handle_push_w,rust/mtproxy-ffi/src/mp_queue/core.rs,196,misc,R1,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_mpq_handle_pop_w,rust/mtproxy-ffi/src/mp_queue/core.rs,234,misc,R1,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_mpq_handle_pop_nw,rust/mtproxy-ffi/src/mp_queue/core.rs,266,misc,R1,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_net_tcp_rpc_ext_server_create_request,rust/mtproxy-ffi/src/net_tcp_rpc_ext_server/ffi.rs,7,net,R3,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_net_tcp_rpc_ext_server_check_response,rust/mtproxy-ffi/src/net_tcp_rpc_ext_server/ffi.rs,14,net,R3,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_net_tcp_rpc_ext_server_update_domain_info,rust/mtproxy-ffi/src/net_tcp_rpc_ext_server/ffi.rs,33,net,R3,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_net_tcp_rpc_ext_server_get_sni_domain_info,rust/mtproxy-ffi/src/net_tcp_rpc_ext_server/ffi.rs,40,net,R3,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_net_tcp_rpc_ext_server_compact_parse_execute,rust/mtproxy-ffi/src/net_tcp_rpc_ext_server/ffi.rs,48,net,R3,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_net_tcp_rpc_ext_server_proxy_pass_parse_execute,rust/mtproxy-ffi/src/net_tcp_rpc_ext_server/ffi.rs,55,net,R3,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_net_tcp_rpc_ext_server_proxy_pass_close,rust/mtproxy-ffi/src/net_tcp_rpc_ext_server/ffi.rs,62,net,R3,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_net_tcp_rpc_ext_server_proxy_pass_write_packet,rust/mtproxy-ffi/src/net_tcp_rpc_ext_server/ffi.rs,70,net,R3,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_net_tcp_rpc_ext_server_init_proxy_domains,rust/mtproxy-ffi/src/net_tcp_rpc_ext_server/ffi.rs,78,net,R3,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_net_tcp_rpc_ext_server_init_proxy_domains_state,rust/mtproxy-ffi/src/net_tcp_rpc_ext_server/ffi.rs,86,net,R3,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_net_tcp_rpc_ext_server_proxy_connection,rust/mtproxy-ffi/src/net_tcp_rpc_ext_server/ffi.rs,91,net,R3,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_net_tcp_rpc_ext_server_set_ext_secret,rust/mtproxy-ffi/src/net_tcp_rpc_ext_server/ffi.rs,99,net,R3,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_net_tcp_rpc_ext_server_add_proxy_domain,rust/mtproxy-ffi/src/net_tcp_rpc_ext_server/ffi.rs,104,net,R3,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_net_tcp_rpc_ext_server_lookup_domain_info,rust/mtproxy-ffi/src/net_tcp_rpc_ext_server/ffi.rs,111,net,R3,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_net_tcp_rpc_ext_server_default_domain_info,rust/mtproxy-ffi/src/net_tcp_rpc_ext_server/ffi.rs,119,net,R3,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_net_tcp_rpc_ext_server_allow_only_tls,rust/mtproxy-ffi/src/net_tcp_rpc_ext_server/ffi.rs,124,net,R3,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_net_tcp_rpc_ext_server_ext_secret_count,rust/mtproxy-ffi/src/net_tcp_rpc_ext_server/ffi.rs,129,net,R3,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_net_tcp_rpc_ext_server_ext_secret_at,rust/mtproxy-ffi/src/net_tcp_rpc_ext_server/ffi.rs,134,net,R3,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_net_tcp_rpc_ext_server_domain_server_hello_encrypted_size,rust/mtproxy-ffi/src/net_tcp_rpc_ext_server/ffi.rs,139,net,R3,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_net_tcp_rpc_ext_server_ext_alarm,rust/mtproxy-ffi/src/net_tcp_rpc_ext_server/ffi.rs,146,net,R3,rust/mtproxy-ffi/include/mtproxy_ffi.h
rust_export,mtproxy_ffi_net_tcp_rpc_ext_server_have_client_random,rust/mtproxy-ffi/src/net_tcp_rpc_ext_server/ffi.rs,151,net,R3,rust/mtproxy-ffi/include/mtproxy_ffi.h
